Datum von;Datum bis;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Netzlast [MWh] Berechnete Auflösungen;Deutschland/Luxemburg [€/MWh] Originalauflösungen
01.01.2025 00:00;01.01.2025 01:00;32.875,75;9,50;4.692,50;47.741,75;2,16
01.01.2025 01:00;01.01.2025 02:00;33.520,00;9,50;4.327,50;46.867,25;1,60
01.01.2025 02:00;01.01.2025 03:00;33.767,00;9,00;4.217,75;45.797,50;0,00
01.01.2025 03:00;01.01.2025 04:00;32.876,25;9,25;4.279,50;44.623,50;-0,01
01.01.2025 04:00;01.01.2025 05:00;33.113,75;9,00;4.335,00;43.626,00;-0,01
01.01.2025 05:00;01.01.2025 06:00;33.570,75;9,25;4.464,00;43.838,50;-0,06
01.01.2025 06:00;01.01.2025 07:00;35.440,25;10,50;4.477,75;43.176,00;-0,09
01.01.2025 07:00;01.01.2025 08:00;36.089,75;12,50;4.427,00;43.525,00;-0,01
01.01.2025 08:00;01.01.2025 09:00;35.661,50;723,50;4.080,75;45.659,00;-0,01
01.01.2025 09:00;01.01.2025 10:00;34.597,25;4.051,75;4.009,75;47.680,00;-0,04
01.01.2025 10:00;01.01.2025 11:00;36.147,00;7.913,00;3.988,00;50.088,25;-0,03
01.01.2025 11:00;01.01.2025 12:00;35.918,25;11.146,75;3.969,50;52.089,50;-0,10
01.01.2025 12:00;01.01.2025 13:00;36.641,25;12.110,50;3.646,25;53.127,75;-0,05
01.01.2025 13:00;01.01.2025 14:00;37.617,00;10.659,25;3.623,00;51.859,00;-0,10
01.01.2025 14:00;01.01.2025 15:00;38.592,00;7.043,00;3.614,00;50.763,00;-1,01
01.01.2025 15:00;01.01.2025 16:00;41.261,75;2.772,75;3.590,50;51.838,00;-0,01
01.01.2025 16:00;01.01.2025 17:00;41.900,00;192,75;3.642,50;53.929,75;-0,01
01.01.2025 17:00;01.01.2025 18:00;43.761,75;19,25;3.691,25;55.772,25;0,07
01.01.2025 18:00;01.01.2025 19:00;44.199,75;14,50;3.698,50;55.923,75;1,01
01.01.2025 19:00;01.01.2025 20:00;43.338,50;12,25;3.732,00;54.756,25;1,48
01.01.2025 20:00;01.01.2025 21:00;42.674,50;12,50;3.586,00;52.526,50;1,00
01.01.2025 21:00;01.01.2025 22:00;41.421,25;11,25;3.563,50;50.685,75;0,07
01.01.2025 22:00;01.01.2025 23:00;39.663,25;10,00;3.531,00;48.596,00;10,05
01.01.2025 23:00;02.01.2025 00:00;39.612,25;9,75;3.526,75;46.001,75;7,01
01.02.2025 00:00;01.02.2025 01:00;6.777,75;8,25;8.900,00;50.418,00;136,93
01.02.2025 01:00;01.02.2025 02:00;6.548,75;8,75;8.301,25;48.625,50;129,42
01.02.2025 02:00;01.02.2025 03:00;6.097,25;8,25;8.020,00;47.543,00;124,24
01.02.2025 03:00;01.02.2025 04:00;5.713,50;7,25;7.689,75;46.586,75;119,12
01.02.2025 04:00;01.02.2025 05:00;5.602,50;7,00;7.550,00;46.640,50;118,86
01.02.2025 05:00;01.02.2025 06:00;5.353,75;7,75;7.763,50;46.789,75;120,54
01.02.2025 06:00;01.02.2025 07:00;5.029,00;20,75;8.395,50;47.675,00;127,10
01.02.2025 07:00;01.02.2025 08:00;4.913,00;50,75;8.982,00;50.269,25;144,74
01.02.2025 08:00;01.02.2025 09:00;4.783,50;2.157,00;9.123,75;53.301,25;153,46
01.02.2025 09:00;01.02.2025 10:00;4.461,50;8.842,00;9.035,00;55.970,50;142,44
01.02.2025 10:00;01.02.2025 11:00;3.197,50;16.326,25;8.530,00;57.512,25;128,40
01.02.2025 11:00;01.02.2025 12:00;2.404,25;21.469,25;7.744,25;58.308,25;120,08
01.02.2025 12:00;01.02.2025 13:00;2.307,25;23.258,00;7.456,00;57.068,50;110,29
01.02.2025 13:00;01.02.2025 14:00;2.187,50;21.815,00;7.356,75;55.220,75;103,40
01.02.2025 14:00;01.02.2025 15:00;1.958,25;17.335,75;7.617,25;53.662,25;113,70
01.02.2025 15:00;01.02.2025 16:00;1.977,75;9.929,50;9.488,75;52.216,75;129,49
01.02.2025 16:00;01.02.2025 17:00;2.163,25;2.662,00;11.594,25;53.184,25;154,43
01.02.2025 17:00;01.02.2025 18:00;2.988,25;72,25;12.146,50;56.540,75;168,27
01.02.2025 18:00;01.02.2025 19:00;3.868,25;22,00;12.184,50;58.013,50;167,51
01.02.2025 19:00;01.02.2025 20:00;4.281,75;14,00;12.043,00;56.740,50;162,98
01.02.2025 20:00;01.02.2025 21:00;4.585,00;14,75;11.892,50;54.046,00;156,60
01.02.2025 21:00;01.02.2025 22:00;4.583,75;9,00;10.660,75;52.656,25;145,24
01.02.2025 22:00;01.02.2025 23:00;4.495,75;8,50;10.387,25;50.859,50;141,73
01.02.2025 23:00;02.02.2025 00:00;4.563,00;7,25;9.348,50;48.655,75;131,74
01.03.2025 00:00;01.03.2025 01:00;4.522,25;10,25;10.424,00;47.888,00;128,19
01.03.2025 01:00;01.03.2025 02:00;4.251,75;8,75;8.760,75;46.107,25;120,38
01.03.2025 02:00;01.03.2025 03:00;4.156,25;7,00;7.958,00;45.237,00;117,09
01.03.2025 03:00;01.03.2025 04:00;4.109,25;7,00;7.940,25;44.973,25;112,15
01.03.2025 04:00;01.03.2025 05:00;3.923,00;7,00;7.950,00;45.247,25;109,75
01.03.2025 05:00;01.03.2025 06:00;3.718,00;7,00;8.105,50;45.660,25;114,38
01.03.2025 06:00;01.03.2025 07:00;3.769,75;12,75;8.224,00;46.872,75;118,86
01.03.2025 07:00;01.03.2025 08:00;3.535,00;756,00;8.478,50;49.072,50;135,79
01.03.2025 08:00;01.03.2025 09:00;3.075,75;3.946,50;8.594,25;52.204,00;138,79
01.03.2025 09:00;01.03.2025 10:00;2.757,50;8.144,75;8.415,25;55.124,50;137,74
01.03.2025 10:00;01.03.2025 11:00;2.796,75;12.421,25;7.824,75;57.261,50;125,08
01.03.2025 11:00;01.03.2025 12:00;3.235,75;16.092,00;6.854,00;58.838,50;112,11
01.03.2025 12:00;01.03.2025 13:00;3.570,50;18.086,75;6.773,25;57.497,75;102,21
01.03.2025 13:00;01.03.2025 14:00;3.895,50;17.925,00;6.977,75;55.340,25;97,27
01.03.2025 14:00;01.03.2025 15:00;4.181,50;16.240,00;6.714,25;54.157,50;99,39
01.03.2025 15:00;01.03.2025 16:00;4.301,25;12.130,50;7.198,50;53.633,25;109,23
01.03.2025 16:00;01.03.2025 17:00;4.300,00;6.250,50;8.959,00;53.395,50;125,41
01.03.2025 17:00;01.03.2025 18:00;4.336,00;1.276,75;9.926,50;55.635,75;145,00
01.03.2025 18:00;01.03.2025 19:00;5.345,25;56,75;10.265,00;57.923,00;158,55
01.03.2025 19:00;01.03.2025 20:00;6.403,75;36,50;10.289,00;56.783,25;150,78
01.03.2025 20:00;01.03.2025 21:00;7.209,75;12,25;10.175,00;54.041,25;137,29
01.03.2025 21:00;01.03.2025 22:00;7.435,00;11,25;9.818,75;52.085,75;128,60
01.03.2025 22:00;01.03.2025 23:00;7.232,25;7,75;9.379,25;50.764,00;123,57
01.03.2025 23:00;02.03.2025 00:00;7.148,25;7,00;9.287,50;48.540,00;119,92
01.04.2025 00:00;01.04.2025 01:00;6.676,50;6,25;7.785,00;46.679,50;101,56
01.04.2025 01:00;01.04.2025 02:00;6.316,50;6,00;7.361,25;44.634,00;95,02
01.04.2025 02:00;01.04.2025 03:00;6.133,25;6,00;7.266,25;43.877,25;92,91
01.04.2025 03:00;01.04.2025 04:00;6.243,00;6,00;7.255,50;44.109,75;93,50
01.04.2025 04:00;01.04.2025 05:00;6.811,00;6,00;7.351,50;45.956,50;91,43
01.04.2025 05:00;01.04.2025 06:00;7.631,25;7,25;7.922,00;50.106,00;100,71
01.04.2025 06:00;01.04.2025 07:00;8.482,50;29,25;8.894,75;57.448,25;129,46
01.04.2025 07:00;01.04.2025 08:00;9.061,50;1.690,50;9.021,00;62.027,50;179,96
01.04.2025 08:00;01.04.2025 09:00;8.372,75;8.304,50;9.024,00;64.316,00;159,37
01.04.2025 09:00;01.04.2025 10:00;6.339,25;18.193,75;7.240,75;64.568,00;108,47
01.04.2025 10:00;01.04.2025 11:00;7.506,75;27.221,50;4.560,00;63.056,50;86,17
01.04.2025 11:00;01.04.2025 12:00;9.756,00;32.759,25;3.569,25;63.483,00;70,26
01.04.2025 12:00;01.04.2025 13:00;11.536,50;34.498,50;3.244,50;62.051,75;53,15
01.04.2025 13:00;01.04.2025 14:00;12.861,75;34.269,50;3.185,50;61.118,00;11,57
01.04.2025 14:00;01.04.2025 15:00;13.310,50;33.251,00;3.131,25;59.345,25;10,89
01.04.2025 15:00;01.04.2025 16:00;13.859,25;30.025,25;3.223,50;57.612,00;26,70
01.04.2025 16:00;01.04.2025 17:00;14.561,75;24.839,75;3.334,75;56.541,75;65,23
01.04.2025 17:00;01.04.2025 18:00;15.792,00;16.678,50;4.386,25;57.235,75;82,80
01.04.2025 18:00;01.04.2025 19:00;15.349,25;7.098,50;6.150,00;59.619,00;122,39
01.04.2025 19:00;01.04.2025 20:00;15.550,00;1.022,75;6.488,00;60.108,00;155,72
01.04.2025 20:00;01.04.2025 21:00;18.223,00;27,50;6.655,75;59.790,00;138,00
01.04.2025 21:00;01.04.2025 22:00;21.564,00;7,25;6.448,25;57.216,00;110,90
01.04.2025 22:00;01.04.2025 23:00;22.518,00;7,75;5.810,00;53.174,00;95,64
01.04.2025 23:00;02.04.2025 00:00;23.019,25;7,00;4.833,50;48.826,25;79,45
01.05.2025 00:00;01.05.2025 01:00;4.653,25;0,00;4.616,25;40.892,50;97,51
01.05.2025 01:00;01.05.2025 02:00;4.526,75;0,00;4.128,00;39.010,00;91,78
01.05.2025 02:00;01.05.2025 03:00;4.118,50;0,00;4.129,25;37.779,50;90,46
01.05.2025 03:00;01.05.2025 04:00;3.732,75;0,00;4.286,50;37.084,25;90,63
01.05.2025 04:00;01.05.2025 05:00;3.444,50;0,00;4.244,25;36.885,25;90,50
01.05.2025 05:00;01.05.2025 06:00;3.384,25;32,25;4.004,00;36.519,75;84,16
01.05.2025 06:00;01.05.2025 07:00;3.604,25;1.817,50;3.527,25;36.528,75;83,94
01.05.2025 07:00;01.05.2025 08:00;3.484,00;8.858,75;3.097,75;38.637,00;78,04
01.05.2025 08:00;01.05.2025 09:00;2.425,00;19.822,25;2.287,25;42.168,00;62,10
01.05.2025 09:00;01.05.2025 10:00;968,00;30.735,50;1.738,25;43.880,50;0,00
01.05.2025 10:00;01.05.2025 11:00;750,00;37.781,25;1.653,75;43.858,75;-3,00
01.05.2025 11:00;01.05.2025 12:00;762,25;41.578,75;1.639,75;43.168,50;-40,10
01.05.2025 12:00;01.05.2025 13:00;815,50;42.743,25;1.625,75;41.714,50;-85,01
01.05.2025 13:00;01.05.2025 14:00;744,75;41.671,50;1.609,50;40.772,75;-129,99
01.05.2025 14:00;01.05.2025 15:00;783,50;38.937,00;1.617,50;38.893,00;-118,11
01.05.2025 15:00;01.05.2025 16:00;975,50;37.379,25;1.635,75;37.789,25;-49,99
01.05.2025 16:00;01.05.2025 17:00;1.205,25;32.330,50;1.719,50;38.525,00;-5,17
01.05.2025 17:00;01.05.2025 18:00;1.223,50;24.281,00;2.038,50;40.203,00;40,77
01.05.2025 18:00;01.05.2025 19:00;1.312,75;12.923,00;4.061,50;42.628,00;96,14
01.05.2025 19:00;01.05.2025 20:00;1.571,25;4.080,50;6.262,75;44.335,00;129,87
01.05.2025 20:00;01.05.2025 21:00;2.464,75;388,00;7.200,25;44.410,00;164,38
01.05.2025 21:00;01.05.2025 22:00;4.421,75;3,50;7.391,25;44.925,00;122,45
01.05.2025 22:00;01.05.2025 23:00;6.822,00;2,75;6.832,50;43.481,75;100,73
01.05.2025 23:00;02.05.2025 00:00;8.023,25;0,00;5.502,75;40.532,75;87,10
01.06.2025 00:00;01.06.2025 01:00;8.477,50;0,00;3.961,50;38.262,75;92,53
01.06.2025 01:00;01.06.2025 02:00;9.917,75;0,00;3.239,50;36.440,75;85,22
01.06.2025 02:00;01.06.2025 03:00;11.070,75;0,00;3.041,75;35.037,75;77,13
01.06.2025 03:00;01.06.2025 04:00;12.583,25;0,00;2.707,25;34.964,75;74,09
01.06.2025 04:00;01.06.2025 05:00;11.814,00;4,25;2.570,75;35.543,75;72,66
01.06.2025 05:00;01.06.2025 06:00;11.641,50;402,75;2.203,00;35.091,25;66,11
01.06.2025 06:00;01.06.2025 07:00;11.424,50;2.643,25;2.105,00;35.983,75;35,84
01.06.2025 07:00;01.06.2025 08:00;10.321,00;6.966,00;2.066,25;37.694,25;13,00
01.06.2025 08:00;01.06.2025 09:00;7.828,00;12.766,75;2.008,50;40.562,25;2,40
01.06.2025 09:00;01.06.2025 10:00;6.475,25;18.873,75;1.973,00;43.440,50;-0,01
01.06.2025 10:00;01.06.2025 11:00;6.125,75;24.489,75;1.965,50;44.513,25;-0,60
01.06.2025 11:00;01.06.2025 12:00;6.227,75;28.716,00;1.970,25;45.062,25;-2,11
01.06.2025 12:00;01.06.2025 13:00;6.948,00;30.927,25;1.981,25;44.936,25;-5,48
01.06.2025 13:00;01.06.2025 14:00;8.725,00;31.814,50;1.983,75;43.844,00;-12,93
01.06.2025 14:00;01.06.2025 15:00;10.249,50;30.238,75;2.000,00;42.175,50;-20,41
01.06.2025 15:00;01.06.2025 16:00;12.646,25;26.705,00;2.051,50;42.473,00;-15,61
01.06.2025 16:00;01.06.2025 17:00;14.774,00;20.799,00;2.068,50;42.716,50;-6,00
01.06.2025 17:00;01.06.2025 18:00;17.200,25;16.009,00;2.121,25;45.024,00;-0,99
01.06.2025 18:00;01.06.2025 19:00;16.781,25;10.290,00;2.413,25;46.796,75;19,23
01.06.2025 19:00;01.06.2025 20:00;14.976,50;5.268,75;3.311,50;46.524,25;78,85
01.06.2025 20:00;01.06.2025 21:00;12.257,00;1.592,50;4.443,00;45.702,75;93,66
01.06.2025 21:00;01.06.2025 22:00;10.235,75;76,75;4.709,75;45.522,50;106,86
01.06.2025 22:00;01.06.2025 23:00;8.888,00;4,00;4.676,00;44.692,25;105,93
01.06.2025 23:00;02.06.2025 00:00;8.032,25;0,00;4.454,75;42.322,75;90,49
01.07.2024 00:00;01.07.2024 01:00;4.502,25;3,00;3.575,25;40.471,75;94,88
01.07.2024 01:00;01.07.2024 02:00;4.408,50;3,00;3.598,25;39.402,50;84,32
01.07.2024 02:00;01.07.2024 03:00;4.278,75;3,00;3.355,50;38.458,75;78,19
01.07.2024 03:00;01.07.2024 04:00;3.976,50;2,75;3.744,00;38.234,25;78,01
01.07.2024 04:00;01.07.2024 05:00;4.126,75;5,75;3.869,00;39.489,25;75,63
01.07.2024 05:00;01.07.2024 06:00;4.650,25;292,75;4.629,50;42.308,50;80,82
01.07.2024 06:00;01.07.2024 07:00;4.594,00;1.956,25;5.627,25;49.761,25;122,19
01.07.2024 07:00;01.07.2024 08:00;4.677,75;5.532,00;5.957,75;55.221,00;141,30
01.07.2024 08:00;01.07.2024 09:00;4.620,75;10.442,00;6.106,50;58.835,75;142,36
01.07.2024 09:00;01.07.2024 10:00;4.813,25;15.488,00;5.678,50;59.616,75;115,57
01.07.2024 10:00;01.07.2024 11:00;5.264,25;20.190,50;4.051,75;60.680,75;107,01
01.07.2024 11:00;01.07.2024 12:00;6.387,75;23.495,00;3.523,50;61.022,75;91,67
01.07.2024 12:00;01.07.2024 13:00;8.097,50;24.756,00;3.671,75;60.504,50;77,38
01.07.2024 13:00;01.07.2024 14:00;9.306,50;25.295,50;3.167,00;59.946,75;69,90
01.07.2024 14:00;01.07.2024 15:00;11.228,00;24.398,00;2.942,50;58.689,00;39,92
01.07.2024 15:00;01.07.2024 16:00;12.953,25;21.700,00;3.112,00;58.078,25;34,61
01.07.2024 16:00;01.07.2024 17:00;13.954,50;19.034,00;3.280,00;57.654,25;37,63
01.07.2024 17:00;01.07.2024 18:00;14.474,00;15.150,75;3.544,00;58.276,50;62,20
01.07.2024 18:00;01.07.2024 19:00;13.503,50;9.937,75;4.405,00;57.930,75;78,04
01.07.2024 19:00;01.07.2024 20:00;11.042,75;5.029,25;5.401,00;56.789,75;102,47
01.07.2024 20:00;01.07.2024 21:00;9.246,25;1.628,50;5.371,75;55.159,00;166,79
01.07.2024 21:00;01.07.2024 22:00;7.969,75;130,75;5.512,75;52.174,75;129,10
01.07.2024 22:00;01.07.2024 23:00;7.802,50;6,00;5.716,00;49.747,50;107,51
01.07.2024 23:00;02.07.2024 00:00;8.551,50;3,50;4.599,50;46.784,50;87,88
01.08.2024 00:00;01.08.2024 01:00;4.526,25;3,00;7.169,50;44.247,75;96,45
01.08.2024 01:00;01.08.2024 02:00;4.113,50;2,50;6.980,50;42.449,75;92,40
01.08.2024 02:00;01.08.2024 03:00;3.524,50;2,00;6.727,75;41.238,75;86,85
01.08.2024 03:00;01.08.2024 04:00;3.163,50;2,00;6.617,50;41.059,75;84,11
01.08.2024 04:00;01.08.2024 05:00;2.842,75;2,50;6.916,25;41.754,50;93,08
01.08.2024 05:00;01.08.2024 06:00;2.977,50;57,25;7.161,75;44.452,50;112,71
01.08.2024 06:00;01.08.2024 07:00;3.117,25;1.623,50;7.313,25;50.009,00;134,39
01.08.2024 07:00;01.08.2024 08:00;2.356,25;7.026,50;7.510,75;55.335,00;109,52
01.08.2024 08:00;01.08.2024 09:00;1.082,25;15.093,00;6.776,00;58.745,75;105,95
01.08.2024 09:00;01.08.2024 10:00;850,75;23.350,75;4.689,50;60.659,00;90,10
01.08.2024 10:00;01.08.2024 11:00;991,50;29.669,25;3.388,75;61.800,25;76,95
01.08.2024 11:00;01.08.2024 12:00;1.340,50;32.202,50;3.199,25;63.135,25;67,64
01.08.2024 12:00;01.08.2024 13:00;1.313,00;31.517,50;3.005,00;62.350,75;64,03
01.08.2024 13:00;01.08.2024 14:00;1.337,75;29.212,75;3.086,50;61.580,50;60,38
01.08.2024 14:00;01.08.2024 15:00;1.942,00;27.075,50;3.238,25;59.936,00;62,39
01.08.2024 15:00;01.08.2024 16:00;2.399,75;23.638,25;3.857,00;59.070,50;71,22
01.08.2024 16:00;01.08.2024 17:00;2.682,25;19.077,50;4.375,25;57.876,00;77,39
01.08.2024 17:00;01.08.2024 18:00;3.429,75;13.296,00;5.695,25;57.956,25;95,16
01.08.2024 18:00;01.08.2024 19:00;4.167,00;8.104,75;7.618,00;58.007,25;102,83
01.08.2024 19:00;01.08.2024 20:00;5.260,75;3.536,75;8.047,75;56.626,25;112,50
01.08.2024 20:00;01.08.2024 21:00;5.621,25;670,25;8.200,75;54.267,50;138,07
01.08.2024 21:00;01.08.2024 22:00;5.844,75;9,25;8.215,75;52.602,25;124,03
01.08.2024 22:00;01.08.2024 23:00;5.663,75;4,25;8.032,25;49.703,50;112,94
01.08.2024 23:00;02.08.2024 00:00;5.502,75;3,25;7.278,25;46.289,50;105,70
01.09.2024 00:00;01.09.2024 01:00;15.217,00;12,50;3.286,75;38.312,75;93,76
01.09.2024 01:00;01.09.2024 02:00;14.536,25;12,25;3.152,75;36.659,50;85,98
01.09.2024 02:00;01.09.2024 03:00;14.440,25;13,00;2.927,25;35.583,00;80,37
01.09.2024 03:00;01.09.2024 04:00;14.344,00;14,00;2.842,50;35.384,75;80,14
01.09.2024 04:00;01.09.2024 05:00;14.043,00;13,00;2.820,25;35.210,25;81,20
01.09.2024 05:00;01.09.2024 06:00;13.815,25;14,75;2.811,75;35.557,50;80,16
01.09.2024 06:00;01.09.2024 07:00;14.017,75;212,25;2.804,25;36.111,25;79,49
01.09.2024 07:00;01.09.2024 08:00;12.464,75;3.576,75;2.836,25;38.046,00;73,10
01.09.2024 08:00;01.09.2024 09:00;9.553,25;12.097,50;2.642,50;41.316,50;60,63
01.09.2024 09:00;01.09.2024 10:00;6.115,00;23.088,50;2.423,25;44.185,00;41,27
01.09.2024 10:00;01.09.2024 11:00;5.507,25;32.839,75;2.387,25;46.011,25;12,73
01.09.2024 11:00;01.09.2024 12:00;6.119,00;38.676,75;2.418,00;47.050,25;-0,79
01.09.2024 12:00;01.09.2024 13:00;5.669,50;40.916,25;2.263,75;46.135,00;-9,17
01.09.2024 13:00;01.09.2024 14:00;4.552,75;40.710,50;2.260,50;44.271,00;-24,00
01.09.2024 14:00;01.09.2024 15:00;4.938,00;38.243,00;2.425,00;42.876,00;-19,94
01.09.2024 15:00;01.09.2024 16:00;6.577,50;33.575,75;2.659,75;42.917,75;-4,99
01.09.2024 16:00;01.09.2024 17:00;7.550,25;26.733,25;3.248,75;43.348,50;25,56
01.09.2024 17:00;01.09.2024 18:00;7.779,50;16.839,25;3.824,25;44.986,75;78,28
01.09.2024 18:00;01.09.2024 19:00;8.111,50;7.128,50;4.990,25;47.020,75;109,11
01.09.2024 19:00;01.09.2024 20:00;8.890,00;1.321,75;6.175,25;47.750,50;131,60
01.09.2024 20:00;01.09.2024 21:00;12.053,50;26,25;6.558,50;47.991,00;123,91
01.09.2024 21:00;01.09.2024 22:00;14.654,25;9,75;6.680,00;46.710,50;107,63
01.09.2024 22:00;01.09.2024 23:00;14.585,25;10,50;6.470,25;45.115,75;102,02
01.09.2024 23:00;02.09.2024 00:00;13.996,00;12,25;6.229,25;42.897,25;91,50
01.10.2024 00:00;01.10.2024 01:00;27.554,00;22,00;3.273,25;46.034,00;3,21
01.10.2024 01:00;01.10.2024 02:00;26.335,25;17,75;2.372,00;44.656,75;0,07
01.10.2024 02:00;01.10.2024 03:00;24.930,50;10,75;2.001,25;44.192,75;0,05
01.10.2024 03:00;01.10.2024 04:00;23.818,75;15,25;2.011,25;44.182,50;0,02
01.10.2024 04:00;01.10.2024 05:00;23.854,00;18,75;1.803,25;45.039,50;0,09
01.10.2024 05:00;01.10.2024 06:00;22.659,25;17,50;1.994,75;48.204,25;6,80
01.10.2024 06:00;01.10.2024 07:00;22.135,75;24,50;2.633,00;55.353,00;63,96
01.10.2024 07:00;01.10.2024 08:00;21.255,25;314,25;3.600,75;59.896,75;103,35
01.10.2024 08:00;01.10.2024 09:00;20.111,00;2.936,25;3.721,75;62.264,00;114,98
01.10.2024 09:00;01.10.2024 10:00;18.630,25;7.426,50;3.686,00;62.751,25;100,41
01.10.2024 10:00;01.10.2024 11:00;17.172,75;12.104,25;3.415,00;63.718,00;76,48
01.10.2024 11:00;01.10.2024 12:00;16.245,50;15.064,50;3.065,50;64.185,00;68,21
01.10.2024 12:00;01.10.2024 13:00;15.817,50;15.420,25;2.871,25;63.576,25;58,60
01.10.2024 13:00;01.10.2024 14:00;15.072,25;15.405,25;2.746,50;63.073,00;55,66
01.10.2024 14:00;01.10.2024 15:00;14.118,75;14.150,50;2.518,50;61.558,00;56,51
01.10.2024 15:00;01.10.2024 16:00;13.856,00;11.605,50;2.815,00;60.214,75;62,18
01.10.2024 16:00;01.10.2024 17:00;12.753,50;7.660,50;3.663,25;59.177,50;98,94
01.10.2024 17:00;01.10.2024 18:00;11.655,25;3.362,25;4.924,75;59.263,00;109,58
01.10.2024 18:00;01.10.2024 19:00;10.383,00;565,25;5.499,75;60.098,00;133,90
01.10.2024 19:00;01.10.2024 20:00;9.936,50;39,50;6.050,75;60.948,00;136,51
01.10.2024 20:00;01.10.2024 21:00;9.397,50;33,00;6.052,25;58.265,25;118,54
01.10.2024 21:00;01.10.2024 22:00;8.597,00;28,25;5.310,50;54.801,25;92,30
01.10.2024 22:00;01.10.2024 23:00;7.500,25;18,75;4.391,50;50.857,50;91,45
01.10.2024 23:00;02.10.2024 00:00;7.543,00;16,25;4.123,75;47.353,50;76,24
01.11.2024 00:00;01.11.2024 01:00;18.325,50;26,00;6.656,25;43.529,25;63,34
01.11.2024 01:00;01.11.2024 02:00;18.324,00;24,25;5.874,25;42.162,25;62,95
01.11.2024 02:00;01.11.2024 03:00;18.507,75;23,75;5.361,00;42.333,75;57,10
01.11.2024 03:00;01.11.2024 04:00;18.396,50;23,25;5.822,75;41.951,50;54,54
01.11.2024 04:00;01.11.2024 05:00;18.176,00;23,25;5.851,25;42.716,50;56,99
01.11.2024 05:00;01.11.2024 06:00;18.166,75;23,00;5.712,75;44.413,50;63,21
01.11.2024 06:00;01.11.2024 07:00;18.879,50;33,75;6.140,50;47.361,00;69,68
01.11.2024 07:00;01.11.2024 08:00;18.757,00;416,50;5.835,50;49.815,00;70,35
01.11.2024 08:00;01.11.2024 09:00;18.296,75;2.491,75;5.215,75;52.264,00;64,18
01.11.2024 09:00;01.11.2024 10:00;18.237,50;5.504,75;3.901,25;54.014,25;61,20
01.11.2024 10:00;01.11.2024 11:00;17.941,75;8.431,00;3.739,75;56.137,25;55,01
01.11.2024 11:00;01.11.2024 12:00;17.393,50;10.550,00;3.640,75;57.655,50;32,04
01.11.2024 12:00;01.11.2024 13:00;16.836,50;11.542,25;3.660,25;57.754,25;29,49
01.11.2024 13:00;01.11.2024 14:00;16.534,00;10.934,50;3.809,50;55.990,75;34,90
01.11.2024 14:00;01.11.2024 15:00;15.947,75;8.417,75;3.824,50;54.202,50;63,83
01.11.2024 15:00;01.11.2024 16:00;15.423,75;4.247,25;4.172,50;53.286,75;89,33
01.11.2024 16:00;01.11.2024 17:00;15.046,50;713,00;4.900,50;54.379,50;115,98
01.11.2024 17:00;01.11.2024 18:00;14.914,50;52,25;5.619,25;57.093,50;119,87
01.11.2024 18:00;01.11.2024 19:00;14.508,00;38,75;6.133,50;57.673,75;117,97
01.11.2024 19:00;01.11.2024 20:00;14.138,50;29,00;6.175,75;55.976,75;117,59
01.11.2024 20:00;01.11.2024 21:00;14.548,75;21,00;6.022,25;53.611,75;113,20
01.11.2024 21:00;01.11.2024 22:00;14.242,75;16,00;5.127,50;50.861,50;104,64
01.11.2024 22:00;01.11.2024 23:00;13.943,00;14,75;4.692,75;48.291,00;98,41
01.11.2024 23:00;02.11.2024 00:00;13.455,00;12,25;4.190,75;45.588,50;85,64
01.12.2024 00:00;01.12.2024 01:00;11.682,25;11,50;5.612,75;46.604,75;99,66
01.12.2024 01:00;01.12.2024 02:00;11.222,00;7,25;5.459,50;44.656,75;90,01
01.12.2024 02:00;01.12.2024 03:00;10.713,25;8,00;5.478,50;43.508,50;88,14
01.12.2024 03:00;01.12.2024 04:00;10.283,25;7,50;5.466,75;43.267,50;85,70
01.12.2024 04:00;01.12.2024 05:00;9.800,00;7,00;5.661,00;43.712,50;84,80
01.12.2024 05:00;01.12.2024 06:00;9.377,25;7,25;5.855,25;43.953,00;85,31
01.12.2024 06:00;01.12.2024 07:00;9.576,75;9,00;6.057,25;44.320,50;84,43
01.12.2024 07:00;01.12.2024 08:00;10.086,00;18,75;6.487,00;45.914,00;89,97
01.12.2024 08:00;01.12.2024 09:00;10.989,25;1.549,75;6.604,75;48.938,75;99,64
01.12.2024 09:00;01.12.2024 10:00;10.469,00;6.285,00;6.548,00;51.845,50;94,60
01.12.2024 10:00;01.12.2024 11:00;9.045,50;11.821,25;6.416,75;54.346,75;89,30
01.12.2024 11:00;01.12.2024 12:00;6.930,25;15.480,75;6.459,75;56.560,25;82,38
01.12.2024 12:00;01.12.2024 13:00;5.778,75;15.987,50;6.507,50;55.850,25;85,25
01.12.2024 13:00;01.12.2024 14:00;5.741,75;13.147,25;6.232,50;54.135,75;83,08
01.12.2024 14:00;01.12.2024 15:00;6.530,75;7.901,50;6.415,75;52.857,25;90,61
01.12.2024 15:00;01.12.2024 16:00;9.634,50;2.265,50;6.896,75;53.578,50;108,62
01.12.2024 16:00;01.12.2024 17:00;15.081,75;63,75;7.500,75;56.450,00;121,53
01.12.2024 17:00;01.12.2024 18:00;18.845,00;13,25;7.994,50;59.541,25;117,77
